"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"RFK",2332.53,1869.87,1323.72,1083.1,2423.56,1180.67,964.527,969.788,1605.22,1323.28,1358.95,564.565,1113.42,2057.64,1206.8,1631.39,1631.58,1012.46,954.699,1481.15,1759.12,915.363
"RFTN1",20428.9,23981.4,30378.5,24704.6,15006.7,21308.4,13071.2,14899.7,20236.1,27284.1,19977,26686.7,9065.92,11483,12921.3,11950,6635.24,8394.63,5401.77,10999.7,6823.48,10302.6
"RFTN2",328.238,612.519,485.832,417.39,356.538,578.475,403.458,901.803,229.121,518.51,538.816,505.54,NA,225.383,458.035,477.52,NA,283.653,NA,463.828,435.117,522.393
"RFX1",NA,NA,NA,NA,1188.68,1049.51,NA,NA,1675.89,NA,NA,NA,300.357,NA,NA,NA,NA,NA,969.369,NA,NA,1302.35
"RGL2",872.851,261.906,1122.62,1213.03,860.666,1064.57,792.732,865.005,453.119,718.295,511.988,580.255,1004.57,906.841,868.618,1189.79,861.029,583.244,286.198,1503.94,632.291,1568.37
"RGN",1025.76,NA,2194.87,NA,5443.34,843.925,569.975,1012.18,1854.66,1077.77,1032.23,1419.46,2203.3,1769.18,1296.02,2522.48,2843.36,1611.04,882.698,1738.08,2546.02,2060.84
"RHBDD3",2678,NA,NA,NA,3995.33,2738.92,NA,NA,NA,1388.32,3652.26,760.952,1119.45,345.568,902.407,NA,849.801,270.187,804.676,NA,1390.48,1405.59
"RHBDF1",5118.24,4076,5642.98,4086.02,6640.8,6181.79,4251.34,8123.82,5114.61,5902.3,8144.85,9979.27,7592.15,4372.48,5321.28,4579.29,7225.36,3806.29,7685.74,7391.74,9643.7,8877.5
"RHBDF2",3306.22,1873.06,6766.87,NA,NA,NA,7900.65,4918.94,10158.7,NA,1144.88,4574.85,2026.86,NA,NA,873.084,3804.88,NA,1170.8,NA,4003.59,705.518
"RHEB",20226.3,27000.6,19342.7,26557.8,24849.3,28131.1,22394.4,23995.8,20556.9,25538,24665.3,26700,20542.2,20500.5,16947.2,25123.9,20990.9,20300.4,14416.3,19160.9,17747.8,18128.9
"RHOA",269860,287165,284123,244339,304415,335915,272853,311268,281041,290463,330069,362259,222961,267804,238773,211286,231806,224079,254336,313891,232446,268259
"RHOBTB3",748.373,727.209,1055.19,1492.06,350.563,1033.78,280.478,1246.23,456.143,904.377,542.178,748.825,NA,350.033,43.2467,250.793,63.5461,217.094,NA,174.26,NA,350.661
"RHOC",33811.3,33031.7,40833.8,36908.5,37207.6,37413.7,37068.4,42191.8,40629.3,41633.9,45287.9,39677.4,24627.5,32356.4,32020.6,25436.8,35149.3,31296.9,33555.6,42123.4,32846,35602
"RHOG",67393.4,46867.4,54728.2,54254,32539.7,50928.6,38551.1,49291,53638,60197.5,51488.6,57719.7,28414.6,51240.5,31546.1,61524.4,32698.3,49915.1,26777.2,40261.1,28982.3,34847.7
"RHOT2",7593.02,4331.75,7353.45,5708.24,6383.52,6252.52,7779.58,7748.18,7895.65,6762.02,7931.25,7244.4,5727.4,8193.97,6325.91,5594.3,4893.1,5051.85,5574.43,7332.43,5841.41,5751.74
"RIC1",2415.12,1347.54,2153.04,1314.55,332.546,2488.16,1096.9,1953.27,2036.12,1952.06,2033.37,2516.55,1601.61,1230.76,980.406,1677.28,3672.24,2714.59,1473.5,2237.8,1377.32,1834.7
"RIC8A",16259.2,13597.7,17223.7,14660,14431.2,14678.1,17252.2,14654.5,17525.7,14518.5,16537.4,14502.2,14852.2,2790.13,14021.5,4276.19,20638.9,9879.43,13509.8,14116,14218.9,14755.5
"RICTOR",1568.14,1538.17,1361.67,1422.94,429.789,799.34,1028.99,1421.7,987.939,928.942,1224.05,1142.75,622.419,535.087,625.004,752.646,646.232,996.447,379.465,848.685,888.047,1119.76
"RIDA",3372.53,2045.83,7020.16,3181.63,14926,4588.79,3300.97,4251.44,9202.13,8665.09,8213.06,6180.35,14356.7,3534.34,20519.2,13386.2,8464.26,5764.96,17241.6,4151.93,8108.96,8871.55
"RILPL1",5150.71,4239.47,5778.07,4300.16,4024.18,3544.1,3560.92,4070.43,6153.37,3752.55,4611.05,3987.21,2632.06,4349.64,3713.99,4654.05,4319.67,4247.26,3566.82,4732.64,3782.25,3105.75
"RILPL2",7758.2,6223.09,8774.64,9689.9,6005.12,7174.67,5969.92,6885.52,8821.17,8704.25,7541.53,9028.37,4034.57,7720.3,6972.97,13115.1,9576.08,16022.6,4420.23,11756.1,7468.99,6613.18
"RIMOC1",1932.84,2360.62,2997.58,2626.07,1157.33,1940.17,2193.01,3126.4,1931.18,2164.84,1863.04,2503.32,1224.41,2247.22,1239.74,2409.55,1808.02,3456.81,1513.28,2113.83,1665.7,1784
"RIN1",3870.87,2488.77,3443.33,3214.45,4582.42,2350.46,7074.51,2126.82,4369.73,2588.82,4563.1,1915.85,2337,1159.18,1767.38,892.624,3396.41,1774.64,2103.72,1630.04,3582.51,1541.8
"RINT1",1238.98,2260.33,1616.21,2374.93,1186.67,1140.97,786.652,1027.08,1372.09,1969.4,1104.53,1037.03,498.024,1645.73,760.355,1253.34,1526.93,1374.19,892.926,1589.52,1196.57,662.994
"RIOK3",1613.14,1910.42,2445.77,1339.97,1410.94,1242.41,1721.69,1250.36,2152.14,2001.29,2048.15,1709.76,972.787,886.463,971.103,1336.89,1356.02,1936.04,935.519,2009.13,996.529,1175.98
"RIOX1",1441.37,1362.71,948.36,1465.18,1153.44,1949.59,1008.18,946.364,826.9,491.562,994.018,923.187,1606.66,1585.83,NA,NA,NA,744.543,785.819,1315.01,592.946,1784.85
"RIOX2",2350.7,2087.38,1225.03,2814.51,1367.99,2068.78,1238.49,2222.01,1372.27,1851.81,2633.59,977.597,1236.03,3121.62,493.555,1592.85,959.37,1431.43,532.965,766.363,985.122,566.827
"RIPK1",6455.37,7815.39,7458.53,8620.2,6771.49,6779.8,8491.89,6944.01,8550.73,7914.96,7052.41,7433.63,5500.32,7197.35,5178.71,10723.8,8183.31,9303.02,5292.25,5395.15,5374.56,6368.3
"RIPK2",3482.58,2522.12,4017.98,2116.38,3422.33,3897.98,3865.68,2787.73,2821.82,2779.37,3551.08,3529.66,2333.25,1237.53,1643.24,2251.73,2562.77,1837.01,1295.46,1780.15,2297.56,1820.75
"RIPK3",6487.04,4379.89,7643.79,5326.21,11509.5,7165.11,17049.4,9534.13,5608.26,2411.23,11649.7,6388.98,2597.79,1113.39,2634.5,NA,2972.88,6073.19,2046.99,1608.25,4872.98,1915.15
"RIPOR1",4048.29,4081.83,4275.37,4731.04,4130.07,4630.6,3853.55,3483.08,4490.63,5312.78,5831.76,4004.18,4007.72,2614.01,4224.34,4339.64,4850.41,3204.56,4359.71,3946.96,4817.69,3945.91
"RMC1",4616.51,3437.35,4165.84,3997.12,3341.63,4387.02,1833.16,2444.27,3560.24,6050.5,6031.69,4474.04,2639.38,5079.57,1819.22,4855.39,3951.81,6120.18,2503.12,2906.86,4464.96,3641.09
"RMDN1",13563.5,11466.5,19586.5,14589.6,22726.7,20904.7,17747.3,19931.1,17522.5,18716.3,17936.9,16845.1,15345.7,13594.9,18510.9,18707,12950.8,22252,20902.6,23518.6,15920.2,18498.4
"RMDN2",1748.34,3122.7,2489.12,4417.91,1399.88,2133.89,1084.14,1831.04,2042.22,3701.55,2174.03,2787.15,1694.07,1180.48,1314.71,969.613,3257.04,956.308,1428.36,1883.29,2278.74,2221.56
"RMDN3",9371.37,13036.8,16850.6,14133.4,7459.62,7903.24,9007.36,9881.59,12504.2,13149.2,11500.4,12893.4,6772.71,5014.53,8020.07,4883.11,8585.19,10112.4,7560.24,11680.1,11071.2,10470
"RMND1",7098.15,6621.32,6109.22,3940.38,3957.29,6214.42,4991,6988.59,4857.5,5551.69,6074.73,6891.92,5234.16,7615.41,6156.55,10326.7,5628.13,8769.24,3509.79,2494.57,4332.34,5775.7
"RMND5A",NA,1745.84,879.535,679.053,109.428,1695.21,2540.02,1818.22,1038.4,1305.95,2064.46,1324.86,686.209,2935.19,694.581,1418.08,1579.28,1354.88,1295.59,2036.33,2481.72,1828.26
"RNASEH2A",1976.73,952.43,995.871,1790.28,4067.93,1705.22,1871.17,1639.47,1688.56,1653.28,1619.38,2205.38,1377.57,1399.69,NA,NA,512.081,NA,1841.38,1899.43,2045,792.432
"RNASEH2B",734.373,616.336,1025.49,NA,1863.98,2203.21,618.635,2362.85,953.718,1099.66,1419.33,1420.11,1019.78,382.363,NA,206.744,213.667,903.07,435.791,1530.99,804.797,568.083
"RNASEH2C",1549.09,1445.84,1992.65,837.427,3245.67,1643.84,959.602,2260.71,1820.44,2110.96,2831.32,1442.91,1397.25,1180.14,967.44,NA,NA,NA,1885.69,1806.73,1355.53,1443.16
"RNASEL",2283.43,2336,2255.53,1903.44,1040.45,1765.53,2056.86,2149.14,818.574,1762.28,1834.06,2299.73,1398.19,1732.62,1356.41,1343.28,767.757,2019.24,1523.46,2199.81,351.954,907.813
"RNASET2",2550.09,1854.74,1664.4,2184.92,1774.54,888.731,1828.83,1011.82,912.099,2460.94,2121.89,2114.85,1711.74,1779.83,2192.87,2472.99,4621.55,4969.83,2452.39,2148.34,4194.47,3502
"RND3",10889,3144.17,9588.18,2932.34,12648.5,4331.09,12729.8,4219,13469.1,3808.94,10291.1,4288.78,5484.78,8578.75,5784.25,7058,10142.5,8119.04,4746.94,2731.63,4345.87,2630.08
"RNF11",2432.86,1921.22,2382.38,957.802,1756.15,2456.48,1305.99,944.478,3232.42,1539.67,3189.25,2139.48,1918.71,1362.3,1082.23,875.907,881.405,624.394,1403.48,1995.21,2026.51,1103.57
"RNF113A",803.69,NA,553.858,NA,3276.86,1223.81,1290.64,1128.83,914.745,591.346,943.543,454.13,873.557,NA,543.936,NA,714.042,NA,1092.56,777.343,1054.87,898.903
"RNF114",1385.4,1518.6,1935.14,2047.42,1662.27,894.95,1474.64,1256.32,1898.75,2270.69,1452.71,1241.52,2259.46,1232.16,1247.9,1319.47,1090.16,518.326,967.567,806.335,1147.69,1127.75
"RNF130",NA,446.078,496.455,1595.61,373.954,1237.5,NA,407.736,NA,230.47,645.757,344.065,651.528,186.207,NA,NA,NA,NA,451.859,211.047,263.294,112.271
"RNF14",3253.01,5472.09,5615.92,4051.01,3584.6,3226.29,3447.87,3205.31,4077.15,4355.57,3371.39,4287.85,1745.43,1490.63,2285.11,1114.73,2654.97,1005.1,3132.13,3915.34,3712.25,3082.83
"RNF146",416.764,208.38,976.083,548.001,221.402,352.232,753.049,471.831,677.549,521.154,887.097,240.664,233.24,449.824,490.709,NA,267.765,387.005,316.208,456.535,379.121,907.457
"RNF149",5827.67,8605.88,4238.98,8968.55,6305.97,11728.9,4341.86,6338.48,4212.92,5576.39,6352.59,5427.24,6042.4,2381.99,784.37,1741.85,1721.1,2240.12,4374.14,1676.65,5907.96,1778.49
