"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"QKI",15.60447,15.53396,15.18476,15.31567,15.39383,15.47802,15.30643,15.53839,15.11651,15.13561,15.79584,15.57942,16.00399,15.8034532937647,15.5666957815366,15.74353,15.69423,15.47937,15.3427915636252,15.4320388023889,15.37171,15.76538
"TRNT1",15.26733,15.25494,15.38201,15.28952,15.1137835445124,14.95502,15.47242,15.5864,15.41751,15.27524,15.2019474926036,15.2239545894356,16.27065,15.53975,14.87697,15.43061,15.16376,15.70139,15.29148,15.3527,15.335917683983,15.85277
"SLC38A2",15.93296,15.7937456769574,15.79836,15.60504,15.56583,15.21644,16.24949,15.7343,16.37649,15.43047,17.28622,17.1018,15.92828,16.1123168346733,15.8328,16.39774,15.90197,15.9062,15.91523,15.8062242472336,15.32928,15.79032
"VPS35",17.38131,17.3393,17.49744,17.57862,17.45877,17.55583,17.37271,17.33739,17.96359,17.46327,17.54587,17.70245,17.85356,17.72269,17.47105,17.74576,17.3787,17.8994,17.72294,17.64301,17.3569,17.81023
"PURB",15.32029,15.60848,15.28501,15.02283,15.57408,15.64387,15.27861,15.54709,15.31111,15.19771,15.52011,15.77426,14.83916,15.1554,15.08977,14.55201,15.20453,15.44661,15.4343558809869,15.37483,15.24563,14.99298
"SNX18",15.97321,15.75042,16.35997,16.46186,16.22439,16.58668,15.92504,15.82782,16.43699,16.11616,16.10706,16.51798,16.08623,16.50894,15.36201,15.81493,16.06801,16.60846,15.89906,16.0176,16.53495,16.30143
"MCCC1",15.0973682295293,15.02514,15.22055,14.96367,15.0454267927098,15.1974279174468,14.93366,15.0566288545016,15.34996,15.18011,15.24205,15.3324753833862,15.2776910960841,15.50345,15.0682824707657,15.12499,14.82241,15.72049,15.92217,15.67608,15.00204,15.1241641169064
"NUDCD1",15.87755,15.92013,15.64645,15.516,15.48195,15.5668588312037,16.08856,16.06219,15.86682,15.64122,15.55445,15.6465,16.06971,15.58738,15.97722,15.48585,15.5042,16.18709,16.32537,16.32143,16.08371,15.97288
"PIGS",15.44396,15.74503,15.46603,15.62515,15.49624,15.4047,15.59317,15.68222,15.71065,15.53066,15.65093,15.64981,16.17925,15.06502,15.42581,15.68952,15.63763,15.51819,15.39836,15.28776,15.26612,15.54904
"MYADM",18.29715,17.00019,18.08062,18.35023,17.3041464862251,17.31352,17.40207,17.11834,18.96953,18.03424,17.9991,17.97078,19.65982,18.61437,18.29705,19.47571,18.76866,18.41791,17.76141,17.72337,18.09219,19.38541
"GPX7",15.53067,15.8581,16.79268,16.4346,16.29226,16.43845,15.54746,15.93766,16.95007,16.431,16.25623,16.67921,16.02988,16.30474,15.7736,15.49999,15.40668,15.59571,16.07236,15.81546,15.21266,15.76433
"OSBPL9",14.64997,15.32836,14.58591,14.83311,15.18595,15.2304,15.26712,15.27548,15.50896,15.1379,15.2962,15.37272,14.23407,14.8167956840841,15.11983,14.0046,14.3571840114425,14.8785738200704,15.18216,15.45021,14.69536,14.43907
"RUFY1",16.23403,16.21175,16.07562,16.05187,15.95988,15.98092,16.18265,16.04305,16.06014,16.06201,15.99964,15.92596,15.77541,15.81208,15.95139,15.62371,15.67185,16.07496,15.88005,16.0274,15.75845,15.54718
"MMS19",15.84399,16.07428,15.97619,16.05994,16.05429,16.01494,15.95378,15.8186,16.26539,15.78537,16.15677,16.1053,16.41227,16.38163,16.3965,15.8601,16.1001,16.28392,16.04808,16.29784,15.92317,16.08501
"NIBAN2",18.12513,18.4141,18.01108,18.26596,18.12866,18.03933,18.11393,18.41663,18.34564,18.216,18.53664,18.33869,18.47067,18.10652,18.12527,18.21468,18.11004,18.36151,18.30357,18.47229,18.21704,18.37279
"RMDN3",15.50813,15.49242,15.61915,15.60921,15.79856,15.87185,15.38222,15.78607,15.56791,15.75725,15.69104,15.72396,15.90337,15.66192,15.66666,15.39609,15.60804,15.7317941890988,15.6296768167253,15.71863,15.53539,15.91049
"TBCB",16.34708,15.56602,16.70806,15.95301,16.1227,16.28422,16.04249,16.14125,16.33423,15.93182,16.61363,16.198902285118,16.9002,17.09722,16.74004,17.19081,16.47719,16.3312,16.33172,16.53124,16.61203,16.43192
"PSMB7",17.96669,18.08666,17.53703,17.44546,17.94622,17.95554,17.76161,17.70718,17.575,17.58702,17.33897,18.13789,17.10961,17.28164,17.56884,17.40483,17.50256,17.65445,18.09011,17.84649,17.91663,16.5446
"CNN2",19.44255,18.49473,19.99675,19.75162,19.71789,19.94889,19.70433,19.24845,20.32372,19.99568,19.77721,19.26744,19.08961,19.63089,19.64597,18.28208,19.42998,19.01225,19.95872,20.00602,19.10952,20.24381
"PCYT2",15.42225,15.48795,15.77412,15.75773,15.42995,15.24382,15.79495,15.5708,16.24831,15.86009,15.19986,15.00227,15.87828,15.38295,15.27591,15.25768,15.51628,15.96041,15.44129,15.5459,15.77142,15.91829
"CDC5L",15.71437,15.84501,15.39217,15.13796,15.41321,15.37824,15.4116,15.62805,15.09706,15.35589,15.2879827884304,15.3940801306648,15.00802,15.2000459722429,15.1919558927651,15.14268,15.20541,15.38511,15.4002839508927,15.3972062681685,15.09475,15.27861
"PSMD1",17.27888,17.32074,17.35846,17.34022,17.2886,17.38236,17.38968,17.30355,17.46401,17.4897,17.37186,17.41736,17.36292,17.15595,17.17741,17.67766,17.32469,17.46778,17.37776,17.30444,17.50159,17.26664
"SDF2",16.33155,16.08822,16.55356,16.45579,16.29315,16.58045,16.22481,16.08566,16.6876,16.43794,16.62421,16.21438,16.78358,16.93225,16.87067,16.71392,16.98695,16.86386,16.85416,16.72894,16.88666,16.79101
"PFDN5",17.32872,16.33026,17.11473,17.07551,16.73245,16.77925,16.58095,16.2245,16.96432,16.48818,16.37449,16.21899,16.74048,17.00906,16.84333,17.19803,16.96368,16.56413,16.99299,16.89831,16.68481,16.6227
"PARK7",20.34944,19.87695,20.07589,20.09484,19.82236,20.06097,20.25137,20.02688,20.10484,20.22775,20.06596,20.14575,19.94202,20.05708,20.07905,19.87563,19.95295,20.11555,20.45379,20.41147,20.25371,20.12346
"VAT1",20.27695,19.92024,20.21357,20.80385,20.2195,20.27452,20.09759,19.91796,20.59363,20.35444,20.11164,19.98579,20.78089,19.68987,19.77395,20.24969,19.88895,20.57767,19.96943,19.75978,19.89802,20.07063
"S100A13",18.93355,18.04422,18.81954,19.03786,18.44791,18.67324,18.88758,18.77698,18.84953,19.20806,18.21778,17.97422,18.36535,17.99512,17.09422,18.29526,18.00422,18.31768,17.41309,16.64957,18.3364,18.56996
"TSNAX",16.31207,16.08228,16.14396,16.40488,16.30949,16.23363,16.19594,15.99375,16.33465,16.24769,16.36371,15.97766,16.38711,16.00734,16.04414,16.4502,16.2075,16.57319,16.51924,16.51931,16.32383,16.25985
"DNAJC7",15.41532,15.29384,15.46944,15.08914,15.01631,15.42752,15.20253,15.21675,15.22328,14.97687,15.37153,15.30062,15.08323,15.2964148705917,15.22393,15.27593,14.8621,15.47097,15.4962217332158,15.31415,14.91728,14.54513
