"","Ost_contr_11","Ost_contr_12","Ost_contr_20","Ost_contr_22","Ost_contr_8","Ost_contr_9","Ost_dif_11","Ost_dif_12","Ost_dif_20","Ost_dif_22","Ost_dif_8","Ost_dif_9","VIC_contr_213","VIC_contr_431","VIC_contr_432","VIC_contr_482","VIC_contr_494","VIC_dif_213","VIC_dif_431","VIC_dif_432","VIC_dif_482","VIC_dif_494"
"SNRPF","164953.33","60493.105","86915.625","96691.33","0.0","65939.97","60717.3","39279.254","61536.734","42454.074","0.0","0.0","185619.52","0.0","0.0","176873.83","128905.375","58176.703","0.0","34985.6","69124.85","84871.15"
"SNRPG","244966.14","119314.41","118586.836","133883.64","90235.09","100984.94","103139.26","90712.5","89354.54","83609.14","0.0","0.0","199904.22","0.0","49334.94","213534.22","128145.63","86511.7","46661.094","46117.164","94725.58","120481.86"
"LSM3","26797.71","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","83041.055","0.0","0.0","0.0","0.0","0.0","0.0"
"LSM6","47411.324","48002.664","34326.207","53504.24","48283.062","39635.355","46424.395","44750.87","36181.395","37888.418","0.0","43537.79","39928.64","0.0","0.0","31738.68","39494.625","57597.914","44533.133","48344.08","39464.215","35068.383"
"SNRPD1","76906.375","121250.1","80038.41","81818.52","130981.36","84227.945","112332.45","89633.11","62260.64","60721.145","152832.58","0.0","78384.89","9062.67","0.0","87925.86","50516.93","88061.695","0.0","39909.14","95309.11","60216.16"
"SNRPD2","315282.88","250775.64","234074.02","261925.11","261751.02","220714.88","218433.42","280971.25","194505.27","210836.3","176770.22","174413.83","371006.56","0.0","57324.586","363183.5","300934.84","202263.73","0.0","0.0","262065.56","241797.12"
"SNRPD3","680558.8","236650.47","349098.88","292658.25","144229.6","247225.88","220915.03","143130.05","178973.3","197129.0","0.0","0.0","791748.2","170908.0","0.0","773461.44","513006.7","120470.13","0.0","90370.74","252779.19","285641.7"
"TMSB4X","1.2558526E7","1.2684407E7","1.5269227E7","1.2133828E7","1.1715508E7","1.7830914E7","9877773.0","8716795.0","1.116879E7","7520973.0","8173061.0","8109911.0","9103443.0","1.1871876E7","6419375.5","1.1636574E7","9665623.0","1.5332172E7","9122861.0","7560562.5","9940076.0","5441558.0"
"ARF6","95083.53","108169.73","108870.07","109431.01","83556.82","102426.32","90230.19","95462.03","126271.29","94495.17","86719.375","87917.34","112954.05","122784.69","88328.09","91152.555","113658.41","134485.39","125630.05","134536.56","111680.164","111671.77"
"PSMC6","529061.0","481933.8","433056.4","442725.06","386291.03","403576.03","393469.03","407413.53","417016.66","412774.0","380795.66","400112.16","438175.28","433285.28","363408.94","532684.44","409881.94","423725.3","416924.75","387688.56","368096.03","424353.47"
"RPL7A","1709296.0","1942634.0","1977266.1","2202030.5","1864295.8","1921016.5","2169719.2","1958343.1","2073418.8","1868356.5","1916792.0","1533304.9","2576735.2","1947398.6","2611333.0","2203836.5","2418035.5","1574564.5","447500.0","961493.9","2031984.2","2165934.8"
"ETF1","178548.6","170623.1","200177.14","204022.12","157916.77","168781.28","219478.52","178097.5","226839.52","195738.72","188359.88","149079.3","244775.4","186488.66","199786.84","287254.72","162139.47","193532.64","156841.48","160543.16","166618.28","194006.5"
"CNBP","161064.97","183556.52","119704.59","116731.016","120821.57","118775.74","118038.04","134763.28","90575.92","115033.03","115013.19","105618.66","82487.02","57931.33","113086.7","103739.195","116056.45","92521.15","69116.87","67870.336","115550.484","83050.23"
"YPEL5","0.0","0.0","0.0","0.0","0.0","0.0","24965.535","0.0","0.0","22591.72","0.0","0.0","0.0","0.0","0.0","20597.002","0.0","0.0","0.0","0.0","0.0","0.0"
"RPS4X","722028.3","639768.1","772700.1","888842.9","654319.56","609209.56","770153.1","623065.7","729485.75","647698.1","689128.6","685498.25","1229458.6","803313.44","956431.44","1304211.8","984461.2","658934.56","226867.75","387096.47","880532.9","958337.5"
"PPP2CB","225525.45","182489.98","200596.8","168458.45","170702.81","180294.03","185888.27","186681.45","226900.28","199807.23","204023.67","149934.19","258716.03","278227.3","219550.66","304525.6","210303.23","206055.86","207946.39","199120.02","221376.7","230090.6"
"ACTA2","760075.5","373882.44","3343749.8","1577923.6","1845495.9","3272142.0","731364.25","278066.47","3598925.8","1908455.6","2370133.5","1326090.6","3361687.8","2649656.0","1926286.2","1559485.5","2640557.8","2123273.8","2039773.2","2163637.0","1490732.8","5243683.5"
"RHOB","25921.55","23469.752","61825.332","37050.848","0.0","63764.08","52748.86","44778.273","64030.062","59626.19","0.0","0.0","0.0","35714.68","0.0","18557.803","30971.586","0.0","0.0","48861.973","45429.42","49889.457"
"RPL23A","394197.84","297716.78","318155.28","379870.1","320083.62","232318.84","378478.97","335211.88","367733.9","320707.4","317147.62","391459.97","480717.53","578006.3","542655.56","504477.47","457401.9","356406.47","185436.44","266344.88","432818.66","484659.16"
"RPS6","551175.56","362319.34","489983.34","429931.38","378978.25","424502.03","426408.3","348969.3","445012.38","430704.0","382141.78","265399.78","721789.5","689507.7","708401.9","688390.1","568637.7","294899.16","162823.39","251655.69","424771.3","530367.3"
"H4C1","5337288.5","4775628.5","1951345.2","3850338.5","3146316.8","2075378.2","3691287.0","4118963.8","1850342.2","2344608.2","1221171.8","1241967.4","5136544.0","157093.83","159028.3","4444912.0","3785351.2","3864889.0","0.0","61558.656","3541499.2","4684658.5"
"RAB1A","370722.94","248736.58","359690.28","358177.22","267380.16","325352.9","343641.0","267924.34","452680.0","353903.56","280184.94","251992.48","498803.66","538417.8","347162.44","642720.94","353277.8","274618.94","262726.7","280329.6","311614.06","491074.9"
"RAN","1323917.0","935117.06","1020934.56","1110678.6","929339.3","805899.1","1180497.1","1037921.06","941854.75","895458.1","807014.8","683464.56","1762627.6","1679666.0","1421250.1","1487129.0","1326306.4","1168851.0","1661004.4","1488235.1","907710.9","1381518.6"
"RPL23","444813.03","476430.28","529669.94","502245.75","457685.5","438541.1","484676.28","415558.4","478431.72","410106.22","586087.0","472445.56","660745.56","472532.0","702407.1","457748.16","525427.0","357270.22","198977.38","326636.1","431921.8","540637.56"
"RAP1A","0.0","0.0","0.0","92312.49","0.0","0.0","0.0","0.0","153115.5","103946.88","0.0","0.0","0.0","0.0","0.0","0.0","0.0","133010.62","0.0","0.0","0.0","0.0"
"UBE2D2","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0"
"RPS15","821409.5","456691.75","671450.44","518006.22","486742.8","431207.03","565865.1","464656.03","606794.25","517697.28","528067.7","393968.5","1017525.3","1014099.5","886619.56","1068781.1","908317.7","622750.0","217939.53","303876.28","715424.7","894388.6"
"RPS24","530293.94","419482.97","499279.88","491349.8","402710.5","404969.6","543179.2","401238.28","464162.84","474725.62","481979.25","326300.56","650117.56","640780.2","865506.56","570691.25","645856.0","454974.16","191283.36","342711.94","557807.7","693727.06"
"RPS25","457564.25","430628.8","528673.25","563198.25","458601.22","431156.16","579417.4","527645.7","453180.9","500914.0","606909.25","557430.06","903402.25","564092.94","602695.4","1061784.5","630345.7","437424.5","82651.43","229660.55","622010.1","698270.44"
"RPS26","187457.16","264769.56","310681.75","382498.97","227586.89","140003.89","509764.56","353096.38","463395.8","354819.53","638198.6","447321.3","405212.3","384726.66","646620.56","470747.72","379226.25","705754.4","118542.81","221265.25","650861.9","677471.5"
"RPS28","314774.62","151895.53","204244.03","184392.67","142426.44","194907.73","158079.52","149526.61","140456.02","143882.95","133880.52","91213.18","223695.47","232506.64","246420.78","351968.9","200895.8","113756.0","105272.24","128918.6","158680.45","209564.69"
"FAU","73503.07","0.0","49275.465","75591.06","0.0","0.0","107108.0","99685.17","72588.766","68358.04","0.0","0.0","145921.03","299020.53","240401.1","182520.14","64333.207","158927.38","0.0","61604.777","182299.95","191170.47"
"GNB1","386296.75","275232.8","419261.7","340031.22","336623.7","398536.3","328670.38","274417.03","462135.06","334366.94","344799.72","315532.47","633786.75","473878.72","376040.34","638599.6","602372.1","371597.9","371301.1","399031.03","400123.2","604728.44"
"POLR2L","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","32007.309","0.0","0.0","32631.416","0.0","0.0","0.0","0.0","0.0","0.0"
"RBX1","143272.19","91682.07","150488.75","124087.47","68220.45","131478.95","111113.6","73667.56","153176.17","117489.47","79775.44","65543.15","118490.74","96012.51","131343.7","140265.27","132695.3","98407.14","91129.49","117240.36","120814.555","93636.68"
"GNB2","842287.3","433052.88","764389.06","622614.06","517105.84","648970.2","639140.06","530110.94","740069.0","585668.7","567794.6","425100.34","1069390.0","783913.75","506349.44","1177725.5","790100.8","531395.44","435597.88","399389.44","576572.5","1012227.4"
"RPL30","876578.25","842139.4","796819.5","896152.8","768609.06","639102.25","883890.2","680596.7","884027.4","660074.1","772755.75","632836.25","857429.9","1021452.0","896841.56","1425856.6","956795.0","884120.6","225917.34","414894.2","869967.06","944006.75"
"RPL39","83227.13","84748.51","67158.39","142924.81","64039.62","41129.934","145338.19","92140.64","128573.51","96722.16","115200.125","98875.41","212097.8","160395.38","256263.0","178426.66","190722.45","161328.4","0.0","54319.215","230482.23","261845.28"
