Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
CNOT3	3111.96	2583.02	2723.32	2715.66	2160.94	3918.64	4628.6	3670.15	3097.41	2272.9	1819.03	3137.81	1804.03	2825.85	1161.97		2895.64	2148.59	3482.19	936.627	2188.01	2859.62	1971.39	1886.38
CNOT4	1042.13		858.86	603.758	1121.47	401.618	899.048	538.904	1052.42	427.657	997.034	664.365	658.706	676.416	318.028	641.153	436.867	380.498	626.866	215.027	805.912	875.406	822.349	467.182
CNOT7	1546.52	1793.92	1546.57	2326.88	1950.12	2384.6	2034.99	1385.09	1994.48	820.922	1833.57	1529.16	1479.41	699.295	1166.09	1183.18	1162.78	515.911	1135.47	1551.09	974.543	1479.95	1090.68	1487.42
CNOT9	2996.08	2378.84	3754.74	2057.4	5682.21	3806.67	4064.22	3074.41	4815.85	3195.03	3789.22	3579.05	3809.08	1910.61	3751.96	1750.71	3413.26	3224.17	4887.37	4123.27	3951.75	4351.61	4827.76	3703.57
CNP	28519.4	23594.1	28644.7	27454.4	22367.1	31678.6	25903.8	30904.9	29911.2	27728.1	22612.4	29646.3	16320.6	23390.3	14720.4	20728.3	15697.9	28234.2	15016.6	22567	14864	17929.6	16542.6	22202.2
CNPY2	64035.3	82719.1	82671.6	70360.1	86696	64144.2	54518.8	60960.8	73588	61788.5	61116.8	74244.6	32056	57163.7	46672.1	121228	73416.1	119257	82470.8	89317.4	45666.2	75679.8	68673.5	74558.8
CNPY3	17213.8	12743.6	22922.1	20871.4	23692.5	17566.3	16859.9	14612.4	17006.4	18850.4	27328.4	17762.8	22453.6	19317.9	15970.1	27358.7	22273.9	21939.2	21190.7	19325.9	22368.1	27703.2	21619.2	24131.3
CNPY4	13552.4	16382	21067	14020.5	23801.8	14049.3	8737.37	11452.9	20619.1	22697.8	20995.3	15846.2	17432.2	16842.3	24810	4033.02	16302.7	4514.83	14807.3	9321.74	17446	16038.5	18254.1	24215
CNRIP1	4586.98	4814.47	4897.01	3979.29	4628.68	5083.29	4393.74	4023.85	5216.11	6347.47	6470.14	6623.44	4079.07	3984.76	3289.99	4329.07	3836.24	4096.46	2627.97	3995.04	4553.09	4131.69	2568.43	3730.47
CNST	41.0852	385.856	215.426					87.7651	203.049	159.658		72.5066	360.986	127.082	392.049	109.903	736.432	56.1842	162.666		145.471	235.216	231.167	251.984
