"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"CAMSAP1",11.13229,10.74797,10.77466,11.2908,10.98574,11.34468,10.43856,10.30217,11.27852,11.09174,11.90061,10.32519,11.59237,11.23096,11.06721,11.44942,11.1155,10.81994,11.13818,11.21832,11.25375,10.88646
"CAMSAP2",11.11725,11.25693,11.58995,11.70812,10.76017,10.98156,11.47032,11.46368,11.37632,11.33299,10.42039,11.34165,10.12429,11.26457,10.48588,10.41048,10.97611,9.68095,10.12109,10.54468,10.86049,10.53454
"CAND1",15.31334,15.54979,15.33428,15.57031,14.51745,15.05482,15.06555,15.10548,15.11545,15.49555,15.28145,15.28217,15.0378,15.48865,15.41004,15.71457,15.36469,15.94627,14.88346,15.40649,15.46285,15.48811
"CAND1;CAND2",13.13799,13.86159,13.8078,13.82333,13.45715,13.3556,14.19371,13.84379,13.66948,13.6008,13.36654,14.05784,13.40224,13.6024,14.04998,14.13811,13.28011,14.30547,13.25538,13.80878,13.56546,13.89087
"CANT1",10.55673,10.52876,10.18308,9.71722,10.74158,10.30178,10.00401,10.4484,10.94212,10.20244,11.42286,10.58068,11.48758,9.68548996708552,10.2421,9.13635963060534,10.28001,8.98347,11.06956,9.68401,10.74813,9.51466
"CANX",18.19486,18.48733,18.3262,18.54879,18.04607,18.32101,18.1117,18.30112,18.38231,18.36881,18.04807,18.42163,17.89539,18.38401,18.08017,18.13499,18.3834,18.1993,17.83601,18.5708,18.27584,18.20935
"CAP1",17.54748,17.45183,17.72993,17.39604,17.39197,17.41695,16.80597,16.93996,17.68562,17.62646,17.50948,17.62089,17.05194,17.41604,17.30708,17.8973,17.61775,17.84757,17.12502,17.75128,17.22299,17.25507
"CAP2",13.67821,13.48424,13.76378,13.37823,13.25519,12.98558,12.52025,12.04551,13.84194,13.81102,13.759,13.71237,12.93784,13.10468,13.81222,13.77129,14.41563,14.4083,13.29617,13.65343,13.78989,13.77757
"CAPG",15.05583,14.97906,15.19994,14.64065,16.6651,16.42298,16.63078,16.72117,14.97103,15.20884,16.27662,16.24554,14.16215,13.8523,13.46988,13.62128,13.50381,13.45786,15.36061,15.74806,13.58326,14.41564
"CAPN1",15.38181,15.4011,15.8145,15.45182,14.98581,15.55514,15.03456,15.39066,15.71589,15.87273,15.72913,15.85135,15.61213,15.56714,15.63693,15.29895,15.6025,15.40598,15.77064,15.73189,15.25877,15.75391
"CAPN2",16.59956,16.48037,16.79872,16.29967,16.47334,16.51872,16.63098,16.76769,16.51437,16.73933,16.18601,16.37458,15.75863,15.68657,16.50037,16.62021,16.60407,16.43568,16.15785,16.51152,16.18656,16.40324
"CAPN5",11.88653,11.26436,10.86561,11.34393,12.16153,11.8618,12.54861,11.91471,11.28968,10.37439,10.72725,11.08202,12.51601,12.22795,11.32182,11.5112,10.96449,10.3143,12.13936,11.93954,12.57268,12.07514
"CAPN7",12.13067,10.82534,11.49305,10.96351,11.83268,10.8604,10.9564,10.79411,11.68642,11.55382,12.07209,10.8825,11.14344,12.01938,11.78535,10.92108,11.82406,12.03468,11.53977,11.22336,12.43125,11.41085
"CAPNS1",16.51727,16.21476,16.68228,15.87215,16.79594,16.83032,16.42895,16.76312,16.7061,16.73891,16.56639,16.66808,16.11311,16.23038,16.54636,16.55569,16.7484,16.48051,16.70675,16.94788,16.59522,16.58966
"CAPRIN1",14.89769,15.37019,15.00981,14.77247,15.968,15.70063,15.08707,15.32096,15.7078,15.26785,15.00268,14.96706,15.46546,14.51792,15.1724,13.91446,15.55058,14.25809,15.48967,15.29305,15.62572,14.70024
"CAPZA1",17.73173,18.16545,18.38717,18.03115,17.84047,17.86359,18.04618,17.8929,17.94936,17.69506,17.67626,17.9361,16.45978,18.04026,16.82527,17.45299,16.78359,17.37385,17.04958,17.6348,17.41733,17.14659
"CAPZA1;CAPZA2",15.22119,15.74744,15.91186,15.83689,15.84973,15.49653,15.33109,15.31247,15.69886,16.20457,15.77917,15.39325,15.64524,16.1296,15.53671,16.07434,14.99622,15.87834,15.45687,15.65248,15.57534,15.69555
"CAPZA2",16.7295,16.87684,16.95766,16.76778,16.68687,16.73058,16.54487,16.60347,16.80675,16.96049,16.75528,16.87282,15.96605,16.99164,16.27347,17.08007,16.15074,17.0612,15.78047,16.62481,16.35804,16.72962
"CAPZB",16.59723,16.87104,17.04523,16.74678,16.81616,16.83681,16.32641,16.53908,16.85585,17.03891,16.78589,16.87022,16.18158,16.86488,16.28976,16.69995,16.178,16.75179,16.05501,16.65321,16.28322,16.4458
"CARD19",13.46194,13.56766,13.48263,13.46055,12.7979,13.50756,12.65428,12.87051,13.10203,13.58547,13.68186,13.67207,13.02902,14.33246,11.97103,12.52904,12.71343,12.24844,12.9396,13.38333,13.0858,13.32389
"CARHSP1",14.97879,14.56661,14.82013,14.76987,15.74772,15.61436,15.5102,15.39878,14.01333,14.56569,15.46647,15.40037,13.81606,15.4934,14.19625,15.33765,14.36058,15.1798,13.73239,15.8026,14.86178,15.15799
"CARM1",13.7007,13.37428,13.40535,12.82043,12.50502,13.64197,13.18805,13.37081,13.58439,13.17192,13.29593,12.55878,13.74377,13.18761,13.77206,13.79876,14.0276,14.04745,13.39053,14.07694,13.57181,12.78331
"CARMIL1",11.39855,12.16506,11.55646,12.10868,11.38009,12.37694,11.14798,12.19739,11.67809,12.79994,11.30954,12.48477,12.15295,13.8284,12.3837,13.75659,12.88413,14.04569,11.15003,13.78371,12.66978,14.1993
"CARS1",14.84854,14.5433,14.89361,14.57949,14.30628,14.6366,14.63822,14.28243,14.92447,14.72672,14.76211,14.71972,14.13179,14.7286,14.63026,15.50199,15.08411,15.60504,14.38164,14.902,14.86587,14.34976
"CARS2",14.16267,14.23681,14.32698,14.22132,13.77713,14.22383,13.93145,14.49679,14.31477,14.8384,14.55304,14.70264,13.45251,14.46819,13.69024,14.33402,12.94248,13.92268,13.27089,13.99803,13.13129,13.55982
"CASK",14.04838,14.00129,14.10895,14.28926,13.56401,13.92987,13.78971,13.94838,13.53648,13.79193,13.75366,13.95469,14.05409,14.72125,14.70392,14.51924,14.23732,14.60073,14.16023,14.85524,14.35286,14.644
"CASP1",8.42909,9.33552941829038,10.7518,9.84455,10.63081,9.88477,11.05955,9.85221,9.90329,10.00578,10.65336,9.92787,11.09478,10.04445,10.5048,10.64245,10.90222,10.68079,10.20505,10.08699,10.67352,10.05391
"CASP3",14.31512,13.52301,13.87834,13.69226,13.57114,13.81572,13.35079,13.33946,13.72753,13.36706,13.84824,13.54846,13.6582,13.46887,13.51978,13.6381,13.71259,13.16042,13.50386,13.34442,13.78345,13.57229
"CASP4",11.42857,11.4441,11.54796,11.46807,11.50152,11.5683,11.30286,11.39311,11.5511,11.37328,11.92171,11.68762,10.91397,11.85608,10.72608,11.54928,11.7213,11.58709,11.27073,11.53244,11.87198,11.33898
"CASP6",12.77685,12.35586,13.10895,12.81102,13.07974,12.56299,13.02886,12.6515,12.65589,12.43433,12.9178,12.73079,12.25887,12.74869,11.66789,12.62141,12.54007,12.22594,11.93852,12.74085,11.94101,12.48563
