"","Ost_contr_8","Ost_dif_8","Ost_contr_9","Ost_dif_9","Ost_contr_11","Ost_dif_11","Ost_contr_12","Ost_dif_12","Ost_contr_20","Ost_dif_20","Ost_contr_22","Ost_dif_22","VIC_contr_213","VIC_dif_213","VIC_contr_431","VIC_dif_431","VIC_contr_432","VIC_dif_432","VIC_contr_482","VIC_dif_482","VIC_contr_494","VIC_dif_494"
"EXOSC4",2882.15,2268.39,3631.5,1908.78,4602.38,2424.62,4628.1,3672.11,2304.87,1691.11,2644.56,2552.8,1411.98,2709.71,1432.64,1278.98,686.718,891.223,1110.65,1133.21,1970.73,2890.28
"EXOSC5",908.615,438.041,667.893,982.58,1349.23,1109.97,691.914,904.8,1010.37,429.711,1038.66,934.675,573.737,1825.6,303.316,481.881,572.07,495.712,789.035,655.551,721.177,478.303
"EXOSC6",1646.99,1193.83,1809.16,812.576,5116.12,2462.85,1787.92,2103.55,3058.44,2226.15,2400.07,2042.27,2397.51,2526.73,710.663,396.317,NA,1184.5,4297.3,2478.87,2737.34,3018.08
"EXOSC7",3238.79,2765.9,3321.68,1241.45,5066.99,4540.88,4865.55,3760.68,3169.14,2893.06,4440.74,2501.85,3554.09,4906.19,1680.28,2319.9,1356.67,2188.34,3834.75,4370.29,3868.75,3270.66
"EXOSC8",370.824,NA,657.431,NA,2035.34,752.289,NA,266.121,721.006,1483.29,1514.21,450.348,2349.91,1333.65,360.427,NA,350.472,457.088,2357.02,556.059,1589.02,1111.92
"EXT1",424.214,605.957,410.581,132.551,570.609,502.861,523.616,185.253,437.871,76.8357,NA,699.42,147.958,NA,198.652,294.396,1123.14,87.2352,386.038,619.252,749.916,481.067
"EXTL2",4013.45,3065.77,2523.66,2133.07,4134.91,2495.52,3034,3031.14,3183.72,3028.57,4371.3,2852.68,3533.47,1815.51,2854.49,2500.3,2254.25,2446.09,3569.54,2272.25,4563.6,4067.43
"EZR",51598.9,25957.2,55417.8,21116.9,87175,63119.5,70987.3,54492.2,81671.3,75444.4,54202.7,71340.7,20027.8,33134.1,25131.5,36546.4,35451.5,34641.1,30850.3,55110.7,34593.4,36499.2
"F2",14101.3,7308.32,17133.9,7670.19,33585.6,11071.5,9590.73,5638.08,14216.3,8122.24,9339,7970.24,11684.1,12382.8,26195.3,29162.3,20907.2,16233.7,6218.86,2773.86,18920.5,3587.85
"F2R",1365.53,1316.39,2544.38,2315.85,969.684,4177.49,NA,1216.7,4127.72,4701.22,4935.19,5494.34,6568.44,6409.73,1341.19,2409.69,4266.09,2513.12,5318.58,7656.7,6185.52,6148.9
"F3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1170.8,829.484,1435.14,NA,3032.34,NA,499.736,432.968,250.333,NA
"F5",5544.44,3069.32,8299.04,1799.52,7182,2837.34,3908.15,1133.56,15035.4,5189.34,8064.14,4041.56,27085.1,8409.53,12352,5584.22,9025.68,3762.88,30245,2101.09,22705.2,2943.82
"F8A1",1870.51,1013.03,1088.71,516.259,1414.89,2270.68,1886.68,1644.97,1592.58,1071.25,1942.65,1903.87,1410.19,1509.32,854.773,942.199,1637.05,1422.66,635.945,1531.81,1077.3,1504.39
