Genes	D:\data\Ksyusha\dia_17.11.21\ost_d8_cont_Slot1-25_1_2486.d	D:\data\Ksyusha\dia_17.11.21\ost_d8_dif_Slot1-27_1_2500.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_cont_Slot1-36_1_2498.d	D:\data\Ksyusha\dia_17.11.21\ost_d9_dif_Slot1-42_1_2497.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_cont_Slot1-41_1_2482.d	D:\data\Ksyusha\dia_17.11.21\ost_d11_dif_Slot1-33_1_2484.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_cont_Slot1-21_1_2488.d	D:\data\Ksyusha\dia_17.11.21\ost_d12_dif_Slot1-38_1_2478.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_cont_Slot1-37_1_2491.d	D:\data\Ksyusha\dia_17.11.21\ost_d20_dif_Slot1-30_1_2495.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_cont_Slot1-20_1_2493.d	D:\data\Ksyusha\dia_17.11.21\ost_d22_dif_Slot1-32_1_2480.d	D:\data\Ksyusha\dia_17.11.21\vic_213_cont_Slot1-29_1_2489.d	D:\data\Ksyusha\dia_17.11.21\vic_213_dif_Slot1-35_1_2494.d	D:\data\Ksyusha\dia_17.11.21\vic_426_cont_Slot1-19_1_2487.d	D:\data\Ksyusha\dia_17.11.21\vic_426_dif_Slot1-26_1_2492.d	D:\data\Ksyusha\dia_17.11.21\vic_431_cont_Slot1-24_1_2481.d	D:\data\Ksyusha\dia_17.11.21\vic_431_dif_Slot1-31_1_2483.d	D:\data\Ksyusha\dia_17.11.21\vic_432_cont_Slot1-22_1_2479.d	D:\data\Ksyusha\dia_17.11.21\vic_432_dif_Slot1-39_1_2496.d	D:\data\Ksyusha\dia_17.11.21\vic_482_cont_Slot1-40_1_2485.d	D:\data\Ksyusha\dia_17.11.21\vic_482_dif_Slot1-23_1_2499.d	D:\data\Ksyusha\dia_17.11.21\vic_494_cont_Slot1-34_1_2490.d	D:\data\Ksyusha\dia_17.11.21\vic_494_dif_Slot1-28_1_2477.d
NBEA		240.219		124.848		496.214			888.01	434.729	855.448		1493.56				106.364		464.923	859.872	797.014	574.731	1166.43	430.895
NBEAL1	1994.95	1823.51	1512.28	1030.25		856.412	1354.95	1257.01	1272.5	1623.16	917.875	1109.82	649.948	1417.14	623.061	869.306	539.879	812.645	1564.25	1172	419.206	986.97	961.365	1151.63
NBL1			62.557	140.344	2192.31		131.033					211.485	740.403		2299.92	1007.02	2839.3		534.815		767.46			407.561
NBN	886.608	953.63	1115.54	404.025	1698.71	1612.47	643.686	920.887	1375.23	1027.09	1096.09	798.308	811.852	565.193	873.471		459.36			389.733	820.224	1112.14	1029.68	1448.47
NBR1	4936.91	5877.19	5791.7	6404.73	3913.33	4817.21	6586.9	5128.52	3902.47	3488.13	4147.64	3305.87	5739.52	4421.56	5237.93	7934.28	5061.07	6532	3792.06	4719.44	5078.78	2412.96	3157.29	2561.5
NCAM1		603.805		594.144	1950.21	1441.95	1579.64	2017.49	1177.88	1211.07	1053.72	2484.67	648.432				709.894					1018.74		658.128
NCAM2	961.473	655.139	1062.56		2614.53	1418.91	610.296	506.465	755.323	988.832	766.034		622.942	657.042	2709.45			104.254	1411.63	1835.24	750.431	958.751	1475.56	
NCAPD2	2243.92	2084.51	1914.16	953.643	4086.09	3892.23	4821.95	3423.1	2760.68	2202.51	4254.64	3150.35	2783.85	620.225	897.671		780.356		1941.64		3862.66	2024.76	2795.06	3191.25
NCAPD3	8505.99	1820.62	7724.14	2942.57	22021.8	2911.85	13006	2496.38	11111.7		4534.4	10590.8	8530.38	12154.5	85240.3	64864.6	55535.9	30033.7	38464.5	35244.6	6133.49	3454.94	7822.53	951.464
NCAPG	1483.03	1991.3	1111.17	456.374	3524.5	2660	3553.25	1686.55	1712.52	1232.06	2837.91	2114.98	1932.06	879.928	999.896	964.602	107.937	1594.39	1505.48	997.164	1616.88	1685.83	1914.31	1805.92
NCAPG2				687.46	1622.71	820.112	1149.95										848.897	565.973		694.967	1375.13	525.739	952.641	705.007
